"Road Name","Asset ID (Identifier)","Easting (Location/Map Coordinates)","Northing (Location/Map Coordinates)","Seat Type New","Geometry"
"KING WILLIAM ST DEC","868","280719.8407","6132759.5519","Adelaide Suite","POINT (15428818.685761 -4153551.35704026)"
"KING WILLIAM ST DEC","869","280715.5859","6132813.6699","Adelaide Suite Bench Curved","POINT (15428815.0862471 -4153485.03328111)"
"KING WILLIAM ST DEC","870","280714.9888","6132817.5515","Adelaide Suite Bench Curved","POINT (15428814.472593 -4153480.26767085)"
"KING WILLIAM ST DEC","871","280714.8395","6132820.6119","Adelaide Suite Bench Curved","POINT (15428814.38023 -4153476.51972301)"
"KING WILLIAM ST DEC","884","280706.7031","6132917.5018","Adelaide Suite","POINT (15428807.3041351 -4153357.76313546)"
"KING WILLIAM ST DEC","886","280707.3003","6132906.1557","Adelaide Suite","POINT (15428807.6997527 -4153371.65938638)"
"KING WILLIAM ST DEC","887","280708.3453","6132891.2266","Adelaide Suite","POINT (15428808.5359425 -4153389.95158878)"
"KING WILLIAM ST DEC","888","280708.7932","6132884.3592","Adelaide Suite","POINT (15428808.8806492 -4153398.36506606)"
"KING WILLIAM ST DEC","1300","280732.3439","6132617.3148","Adelaide Suite","POINT (15428829.7543008 -4153725.71488602)"
"KING WILLIAM ST DEC","1693","280708.196","6132897.3475","Adelaide Suite","POINT (15428808.5330245 -4153382.4600153)"
"KING WILLIAM ST DEC","1686","280739.1739","6132526.2099","Adelaide Suite","POINT (15428835.4088789 -4153837.36040494)"
"KING WILLIAM ST_INC","752","280831.9583","6131804.089","Adelaide Suite","POINT (15428927.2979826 -4154723.46535768)"
"CURRIE ST DEC","781","280654.4139","6132715.5857","Adelaide Suite","POINT (15428737.729063 -4153603.21705957)"
"CURRIE ST DEC","782","280633.1026","6132714.466","Adelaide Suite","POINT (15428711.745066 -4153603.96083915)"
"CURRIE ST DEC","783","280618.2855","6132713.3463","Adelaide Suite","POINT (15428693.6692046 -4153604.89530805)"
"CURRIE ST DEC","784","280590.48","6132711.2562","Adelaide Suite","POINT (15428659.748693 -4153606.63524705)"
"CURRIE ST DEC","785","280587.4942","6132711.0323","Adelaide Suite","POINT (15428656.1062685 -4153606.82141981)"
"CURRIE ST DEC","786","280489.1834","6132702.5439","Adelaide Suite","POINT (15428536.1426802 -4153614.31612753)"
"CURRIE ST DEC","787","280307.0406","6132687.7269","Adelaide Suite","POINT (15428313.9096142 -4153627.08557572)"
"CURRIE ST DEC","788","280310.6235","6132688.0255","Adelaide Suite","POINT (15428318.2813348 -4153626.82570252)"
"CURRIE ST DEC","1690","280494.2593","6132703.141","Adelaide Suite","POINT (15428542.3411879 -4153613.7349068)"
"GRENFELL ST","1216","281544.3193","6132765.6915","Adelaide Suite","POINT (15429822.8514582 -4153568.00634528)"
"GRENFELL ST INC","812","280865.9594","6132709.838","Adelaide Suite","POINT (15428995.1653281 -4153616.45739463)"
"GRENFELL ST INC","813","281006.0317","6132721.3334","Adelaide Suite","POINT (15429166.0707517 -4153606.5039759)"
"GRENFELL ST INC","814","281014.5413","6132722.2291","Adelaide Suite","POINT (15429176.4592637 -4153605.657814)"
"GRENFELL ST INC","815","281017.5271","6132722.3784","Adelaide Suite","POINT (15429180.0995102 -4153605.56272371)"
"GRENFELL ST INC","817","281063.8749","6132727.8845","Adelaide Suite","POINT (15429236.6991569 -4153600.18612727)"
"GRENFELL ST INC","818","281136.2135","6132733.7245","Adelaide Suite","POINT (15429324.9581976 -4153595.16244347)"
"GRENFELL ST INC","819","281144.1259","6132734.471","Adelaide Suite","POINT (15429334.6151157 -4153594.48114145)"
"GRENFELL ST INC","1709","281098.5558","6132730.652","Adelaide Suite","POINT (15429279.0117689 -4153597.8172968)"
"GRENFELL ST INC","1710","281091.4191","6132729.8253","Adelaide Suite","POINT (15429270.2970977 -4153598.61938914)"
"OCONNELL ST INC","978","280326.3095","6134857.0914","Concourse","POINT (15428400.8592673 -4150974.31090108)"
"OCONNELL ST INC","979","280436.6356","6134507.1532","Concourse","POINT (15428524.9426171 -4151405.51830553)"
"OCONNELL ST INC","980","280465.3741","6134419.8179","Concourse","POINT (15428557.3778068 -4151513.17403446)"
"JEFFCOTT_ST","1539","280140.9274","6134048.3457","Mosaic","POINT (15428151.4885931 -4151957.96060962)"
"JEFFCOTT_ST","1542","280113.8856","6134042.262","Mosaic","POINT (15428118.3859534 -4151964.60575078)"
"JEFFCOTT_ST","1508","280033.98","6134292.969","Willow","POINT (15428028.4430123 -4151655.62962421)"
"STURT_ST","1506","279946.923","6131704.792","Willow","POINT (15427846.5523871 -4154818.90838748)"
"STURT_ST","1632","280139.9903","6131697.3327","Concrete Leg1","POINT (15428081.4606244 -4154833.72197669)"
"STURT_ST","1633","279904.5622","6131677.5648","Concrete Leg1","POINT (15427794.1643182 -4154850.96852189)"
"STURT_ST","1634","280171.8791","6131722.2921","Unknown","POINT (15428121.028069 -4154804.12649971)"
"STURT_ST","753","280083.4875","6131691.9714","Willow","POINT (15428012.4913973 -4154838.61665021)"
"FLINDERS ST EAST","1276","281898.9791","6132489.8128","Willow","POINT (15430246.7115137 -4153915.84450456)"
"FLINDERS ST EAST","1611","281894.2644","6132489.6489","Willow","POINT (15430240.9653323 -4153915.90731184)"
"MCLAREN_ST","1616","281577.1169","6131922.4597","Concrete Leg1","POINT (15429838.2377331 -4154600.49207385)"
"MCLAREN_ST","1617","281577.3078","6131924.5069","Concrete Leg1","POINT (15429838.5298381 -4154597.99320218)"
"MCLAREN_ST","1618","281575.5602","6131926.5644","Concrete Leg1","POINT (15429836.4614601 -4154595.42502105)"
"WAR MEMORIAL_DR","1740","280462.1265","6133439.9492","Adelaide Suite Bench Curved","POINT (15428524.7681306 -4152711.53363604)"
"WAR MEMORIAL_DR","1741","280458.3438","6133443.5983","Adelaide Suite Bench Curved","POINT (15428520.2689639 -4152706.9591206)"
"WAR MEMORIAL_DR","1742","280459.8774","6133446.6328","Adelaide Suite Bench Curved","POINT (15428522.2250742 -4152703.29256161)"
"WAR MEMORIAL_DR","1746","280599.6177","6133683.2618","Adelaide Suite","POINT (15428699.2931607 -4152417.96997707)"
"WAR MEMORIAL_DR","1747","280595.1261","6133677.2106","Adelaide Suite","POINT (15428693.6473394 -4152425.23938836)"
"PARK 01 - SOUTH COURSE","1544","279637.4706","6134054.9133","Willow with Plaque","POINT (15427538.704513 -4151935.10035438)"
"PARK 01 - SOUTH COURSE","1327","279553.479","6135028.062","Concrete Leg1","POINT (15427465.010981 -4150742.47763972)"
"PARK 01 - SOUTH COURSE","1359","279826.7815","6133752.7107","Willow","POINT (15427760.3334717 -4152310.29549106)"
"PARK 01 - SOUTH COURSE","1351","279212.18","6134647.349","Willow","POINT (15427038.3213196 -4151197.99653615)"
"PARK 01 - SOUTH COURSE","1352","279655.608","6134054.422","Willow","POINT (15427560.7729605 -4151936.23600496)"
"PARK 01 - SOUTH COURSE","1353","279683.0516","6134097.5731","Willow","POINT (15427595.4527481 -4151884.26922186)"
"PARK 01 - SOUTH COURSE","1354","279683.043","6134097.667","Willow","POINT (15427595.4450329 -4151884.15412444)"
"PARK 01 - SOUTH COURSE","1355","280021.101","6134014.339","Willow","POINT (15428004.5988655 -4151996.02672761)"
"PARK 01 - SOUTH COURSE","1356","280099.71","6133969.75","Willow with Plaque","POINT (15428099.0026033 -4152052.87535901)"
"PARK 01 - SOUTH COURSE","673","279627.206","6134179.423","Willow","POINT (15427529.8617556 -4151782.51716413)"
"PARK 01 - SOUTH COURSE","674","279618.366","6134172.793","Willow","POINT (15427518.9043081 -4151790.36522309)"
"PARK 01 - SOUTH COURSE","675","279157.627","6134086.707","Willow","POINT (15426955.4163133 -4151882.05161769)"
"PARK 01 - SOUTH COURSE","676","279112.766","6134436.883","Willow","POINT (15426911.0990322 -4151452.45516264)"
"PARK 01 - SOUTH COURSE","677","279087.054","6134519.12","Concrete Leg1","POINT (15426882.2147385 -4151351.12055979)"
"PARK 01 - SOUTH COURSE","678","279114.214","6134589.045","Willow","POINT (15426917.3379092 -4151266.40649318)"
"PARK 01 - SOUTH COURSE","679","279267.5372","6134860.3758","Willow","POINT (15427111.9771993 -4150939.10958289)"
"PARK 01 - SOUTH COURSE","680","279293.278","6134956.495","Willow","POINT (15427146.1392217 -4150822.32221592)"
"PARK 01 - SOUTH COURSE","681","279157.186","6134910.975","Willow","POINT (15426979.1213767 -4150873.97127095)"
"PARK 01 - SOUTH COURSE","682","279309.083","6135073.06","Willow","POINT (15427168.8054338 -4150680.23923514)"
"PARK 01 - SOUTH COURSE","683","279353.578","6135094.282","Willow","POINT (15427223.5967596 -4150655.59981142)"
"PARK 01 - SOUTH COURSE","684","279615.204","6135392.265","Concrete Leg1","POINT (15427550.8409371 -4150298.91455817)"
"PARK 01 - SOUTH COURSE","685","279622.022","6135408.66","Concrete Leg1","POINT (15427559.6218364 -4150279.06650359)"
"PARK 01 - SOUTH COURSE","686","279692.884","6135229.342","Willow","POINT (15427640.6267401 -4150500.43948489)"
"PARK 01 - SOUTH COURSE","687","279742.718","6135100.934","Concrete Leg1","POINT (15427697.5280868 -4150658.93828372)"
"PARK 01 - SOUTH COURSE","688","279519.3883","6135003.139","Concrete Leg1","POINT (15427422.7772844 -4150771.95130539)"
"PARK 01 - SOUTH COURSE","689","279430.677","6134967.44","Concrete Leg1","POINT (15427313.7313956 -4150812.99196737)"
"PARK 01 - SOUTH COURSE","690","279606.285","6135219.847","Willow","POINT (15427534.9245782 -4150509.49893536)"
"PARK 01 - SOUTH COURSE","691","279390.843","6134908.177","Willow","POINT (15427263.4964023 -4150884.29121509)"
"PARK 01 - SOUTH COURSE","693","279385.619","6134818.563","Willow","POINT (15427254.5041904 -4150993.72958784)"
"PARK 01 - SOUTH COURSE","694","279316.5","6134628.567","Concrete Leg1","POINT (15427164.7735921 -4151224.04663015)"
"PARK 01 - SOUTH COURSE","695","279247.395","6134380.799","Willow","POINT (15427073.3576749 -4151525.02290765)"
"PARK 01 - SOUTH COURSE","696","279291.922","6134301.242","Willow","POINT (15427125.2300442 -4151623.63660634)"
"PARK 01 - SOUTH COURSE","697","279746.787","6134128.56","Willow","POINT (15427673.9614056 -4151848.24946083)"
"PARK 01 - SOUTH COURSE","698","279759.514","6134134.591","Willow","POINT (15427689.6337504 -4151841.24835047)"
"PARK 01 - SOUTH COURSE","699","279770.177","6134126.826","Willow","POINT (15427702.3884225 -4151851.05947843)"
"PARK 01 - SOUTH COURSE","700","279772.641","6134127.456","Willow","POINT (15427705.4068822 -4151850.36156756)"
"PARK 01 - SOUTH COURSE","701","279994.898","6134067.303","Concrete Leg1","POINT (15427974.2477207 -4151930.47744612)"
"PARK 01 - SOUTH COURSE","702","279984.283","6134066.263","Concrete Leg1","POINT (15427961.2931089 -4151931.43693407)"
"PARK 01 - SOUTH COURSE","704","279977.074","6133843.658","Willow","POINT (15427945.9916684 -4152203.48564228)"
"PARK 01 - SOUTH COURSE","705","","","Willow","POINT (15427255.3768905 -4150858.0515925)"
"PARK 01 - SOUTH COURSE","706","279772.921","6133774.142","Willow","POINT (15427695.3830689 -4152282.49593663)"
"PARK 01 - SOUTH COURSE","707","279987.218","6133638.815","Willow","POINT (15427952.3386971 -4152454.32693016)"
"PARK 01 - SOUTH COURSE","708","280045.849","6133517.854","Willow","POINT (15428020.182665 -4152604.00263716)"
"PARK 01 - SOUTH COURSE","709","279730.54","6133591.436","Willow","POINT (15427638.4197242 -4152504.71456098)"
"PARK 01 - SOUTH COURSE","710","279557.814","6133718.576","Willow","POINT (15427431.8435105 -4152344.11563433)"
"PARK 01 - SOUTH COURSE","711","279483.177","6133867.995","Willow","POINT (15427345.3567241 -4152159.1616918)"
"PARK 01 - SOUTH COURSE","712","279175.452","6134047.365","Willow","POINT (15426975.9614492 -4151930.69523296)"
"PARK 01 - SOUTH COURSE","713","279641.963","6134056.26","Willow with Plaque","POINT (15427544.2136819 -4151933.58573194)"
"PARK 01 - SOUTH COURSE","714","279668.102","6134056.975","Willow","POINT (15427576.0597363 -4151933.48190766)"
"PARK 02 - PARDIPARDINYILLA","435","279759.913","6135360.937","Willow","POINT (15427726.0846789 -4150341.48814911)"
"PARK 02 - PARDIPARDINYILLA","436","279819.923","6135391.751","Willow","POINT (15427800.0416767 -4150305.5735729)"
"PARK 02 - PARDIPARDINYILLA","437","279834.295","6135392.811","Willow","POINT (15427817.5685991 -4150304.70047433)"
"PARK 02 - PARDIPARDINYILLA","438","279993.24","6135456.964","Willow","POINT (15428012.9404348 -4150230.92739569)"
"PARK 02 - PARDIPARDINYILLA","439","279897.919","6135116.086","Willow","POINT (15427886.9131045 -4150644.97894731)"
"PARK 02 - PARDIPARDINYILLA","440","279936.709","6135120.732","Willow","POINT (15427934.2719699 -4150640.43904559)"
"PARK 02 - PARDIPARDINYILLA","441","280004","6135143.742","Willow","POINT (15428016.8656419 -4150614.28001202)"
"PARK 02 - PARDIPARDINYILLA","442","280055.558","6135157.098","Willow","POINT (15428080.0230661 -4150599.46359638)"
"PARK 02 - PARDIPARDINYILLA","443","280171.319","6135370.101","Willow","POINT (15428227.1832621 -4150342.38709286)"
"PARK 02 - PARDIPARDINYILLA","444","280176.573","6135400.454","Willow","POINT (15428234.4675291 -4150305.42343356)"
"PARK 02 - PARDIPARDINYILLA","1322","279729.851","6135446.562","Aluminium","POINT (15427691.9991426 -4150235.89421736)"
"PARK 02 - PARDIPARDINYILLA","1323","279727.858","6135440.005","Aluminium","POINT (15427689.3807009 -4150243.85385618)"
"PARK 02 - PARDIPARDINYILLA","1398","280111.292","6135387.49","Willow","POINT (15428154.6175697 -4150319.35755731)"
"PARK 02 - PARDIPARDINYILLA","1399","280122.045","6135354.07","Willow","POINT (15428166.7296225 -4150360.54246566)"
"PARK 04 - KANGATILLA","1186","280525.1652","6135342.4919","Willow","POINT (15428657.1371574 -4150386.5436551)"
"PARK 04 - KANGATILLA","433","280611.35","6135183.64","Willow","POINT (15428757.4165754 -4150583.33314977)"
"PARK 04 - KANGATILLA","434","280555.051","6135166.632","Willow","POINT (15428688.3815796 -4150602.48039802)"
"PARK 05 - NGAMPA YARTA","1187","280495.5764","6135495.8432","Willow","POINT (15428625.5976441 -4150198.14485194)"
"PARK 05 - NGAMPA YARTA","1527","280725.4391","6135433.7282","Cosset Contemporary","POINT (15428903.6086706 -4150280.84731359)"
"PARK 05 - NGAMPA YARTA","1528","280692.2365","6135392.6522","Cosset Contemporary","POINT (15428861.9898088 -4150330.10479497)"
"PARK 05 - NGAMPA YARTA","1529","280694.8436","6135391.3791","Cosset Contemporary","POINT (15428865.1263898 -4150331.73814375)"
"PARK 05 - NGAMPA YARTA","1530","280635.2018","6135408.9208","Cosset Contemporary","POINT (15428793.0326555 -4150308.53730946)"
"PARK 05 - NGAMPA YARTA","1531","280662.9235","6135464.5568","Cosset Contemporary","POINT (15428828.4046042 -4150241.31429398)"
"PARK 06 - NANTU WAMA","1442","280793.5201","6134898.5413","Mosaic","POINT (15428970.8688168 -4150937.33301154)"
"PARK 06 - NANTU WAMA","1443","280793.5007","6134893.8985","Mosaic","POINT (15428970.7096847 -4150943.01037223)"
"PARK 06 - NANTU WAMA","1188","280742.719","6135213.496","Willow","POINT (15428918.2161468 -4150550.67517738)"
"PARK 06 - NANTU WAMA","1189","280748.706","6135226.418","Concrete Leg1","POINT (15428925.8818656 -4150535.04828351)"
"PARK 06 - NANTU WAMA","1449","280707.5909","6135062.2576","Willow with Plaque","POINT (15428871.035824 -4150734.59756924)"
"PARK 06 - NANTU WAMA","1452","280872.0221","6134759.0573","Willow with Plaque","POINT (15429062.3700519 -4151110.21816835)"
"PARK 06 - NANTU WAMA","1479","281342.833","6134956.267","Concrete Leg1","POINT (15429641.3041935 -4150882.82283428)"
"PARK 06 - NANTU WAMA","1350","281372.559","6134962.444","Concrete Leg1","POINT (15429677.6734702 -4150876.13796862)"
"PARK 06 - NANTU WAMA","411","281237.56","6134879.521","Willow","POINT (15429510.9057738 -4150973.6002859)"
"PARK 06 - NANTU WAMA","412","281268.743","6134904.081","Concrete Leg1","POINT (15429549.5846223 -4150944.4767658)"
"PARK 06 - NANTU WAMA","413","281194.661","6134860.2265","Concrete Leg1","POINT (15429458.1165112 -4150995.94127792)"
"PARK 06 - NANTU WAMA","414","281369.417","6135140.945","Willow","POINT (15429679.0443657 -4150657.74996192)"
"PARK 06 - NANTU WAMA","415","281360.8966","6135221.8095","Willow","POINT (15429671.0254238 -4150558.60972922)"
"PARK 06 - NANTU WAMA","416","281337.01","6135230.767","Willow","POINT (15429642.2066602 -4150546.95695765)"
"PARK 06 - NANTU WAMA","417","281473.7606","6135186.5768","Willow","POINT (15429807.4010293 -4150604.99590412)"
"PARK 06 - NANTU WAMA","418","281442.377","6135195.46","Willow","POINT (15429769.4529491 -4150593.215157)"
"PARK 06 - NANTU WAMA","419","281427.539","6135199.897","Willow","POINT (15429751.5182262 -4150587.3553244)"
"PARK 06 - NANTU WAMA","420","281060.0751","6135321.7599","Willow","POINT (15429307.7194034 -4150427.57746416)"
"PARK 06 - NANTU WAMA","421","280809.852","6134947.771","Willow with Plaque","POINT (15428992.1886353 -4150877.60636888)"
"PARK 06 - NANTU WAMA","422","280824.144","6134872.807","Willow with Plaque","POINT (15429007.400401 -4150969.70275224)"
"PARK 06 - NANTU WAMA","423","280854.751","6134826.359","Willow","POINT (15429043.3071853 -4151027.40405615)"
"PARK 06 - NANTU WAMA","424","280896.858","6134728.321","Concrete Leg1","POINT (15429091.7098364 -4151148.53582768)"
"PARK 06 - NANTU WAMA","425","280898.79","6134684.996","Concrete Leg1","POINT (15429092.7978985 -4151201.57806581)"
"PARK 06 - NANTU WAMA","426","281163.696","6134856.197","Willow","POINT (15429420.3009357 -4150999.96294078)"
"PARK 06 - NANTU WAMA","427","280770.517","6134881.426","Willow","POINT (15428942.3644266 -4150957.5897491)"
"PARK 06 - NANTU WAMA","428","280765.139","6134886.615","Willow","POINT (15428935.9685273 -4150951.08613208)"
"PARK 06 - NANTU WAMA","429","280761.036","6134862.596","Willow","POINT (15428930.272211 -4150980.33999769)"
"PARK 06 - NANTU WAMA","430","280758.1899","6134867.7098","Willow","POINT (15428926.9565442 -4150974.00257587)"
"PARK 06 - NANTU WAMA","431","280783.018","6134921.468","Willow","POINT (15428958.7524042 -4150908.9868323)"
"PARK 06 - NANTU WAMA","432","280798.02","6134909.051","Willow","POINT (15428976.653902 -4150924.61208148)"
"PARK 10 - WARNPANGGA","395","281748.623","6134426.681","Willow","POINT (15430119.9362052 -4151542.35972766)"
"PARK 10 - WARNPANGGA","396","281752.049","6134434.775","Willow","POINT (15430124.3426605 -4151532.56057675)"
"PARK 10 - WARNPANGGA","397","281753.867","6134452.684","Willow","POINT (15430127.0766403 -4151510.71048745)"
"PARK 10 - WARNPANGGA","398","281751.622","6134460.136","Willow","POINT (15430124.559941 -4151501.53096108)"
"PARK 10 - WARNPANGGA","399","281717.716","6134472.829","Willow","POINT (15430083.6481991 -4151485.0170684)"
"PARK 10 - WARNPANGGA","400","281692.725","6134473.466","Willow","POINT (15430053.2400938 -4151483.50816288)"
"PARK 10 - WARNPANGGA","401","281427.344","6134469.607","Concrete Leg1","POINT (15429730.0260316 -4151480.47242593)"
"PARK 10 - WARNPANGGA","402","281040.861","6134132.736","Willow","POINT (15429249.6597762 -4151881.16642939)"
"PARK 10 - WARNPANGGA","403","281028.215","6134127.335","Willow","POINT (15429234.1052384 -4151887.40166306)"
"PARK 10 - WARNPANGGA","404","281018.832","6134142.237","Willow","POINT (15429223.1157168 -4151868.90074603)"
"PARK 10 - WARNPANGGA","1340","280990.2","6134132.744","Willow","POINT (15429187.9782377 -4151879.6722499)"
"PARK 10 - WARNPANGGA","1357","281187.746","6134198.479","Willow","POINT (15429430.4143468 -4151805.0609752)"
"PARK 10 - WARNPANGGA","1447","281373.1701","6134328.1171","Willow with Plaque","POINT (15429659.9494967 -4151651.93407898)"
"PARK 10 - WARNPANGGA","410","","","Willow","POINT (15430155.9258172 -4151492.31715145)"
"PARK 11 - TAINMUNTILLA","1409","281380.662","6134148.108","Concrete Leg1","POINT (15429663.8294253 -4151872.31303894)"
"PARK 11 - TAINMUNTILLA","1410","281365.624","6134147.626","Concrete Leg1","POINT (15429645.5059898 -4151872.46265257)"
"PARK 11 - TAINMUNTILLA","1411","281353.766","6134126.225","Sleeper","POINT (15429630.4451067 -4151898.29048871)"
"PARK 11 - TAINMUNTILLA","1413","281491.497","6134036.422","Concrete Leg1","POINT (15429795.5251029 -4152012.15401112)"
"PARK 11 - TAINMUNTILLA","380","281331.356","6134178.949","Willow","POINT (15429604.6955786 -4151833.15027836)"
"PARK 11 - TAINMUNTILLA","381","281457.782","6134102.644","Concrete Leg1","POINT (15429756.4028772 -4151930.17391974)"
"PARK 11 - TAINMUNTILLA","383","281544.67","6134062.793","Willow","POINT (15429861.033734 -4151981.45479128)"
"PARK 11 - TAINMUNTILLA","384","281611.5477","6134021.6801","Concrete Leg1","POINT (15429941.2650973 -4152033.69363612)"
"PARK 11 - TAINMUNTILLA","385","281726.18","6134073.924","Willow","POINT (15430082.3561125 -4151973.14423932)"
"PARK 11 - TAINMUNTILLA","386","281797.4","6134174.326","Willow","POINT (15430171.9886719 -4151852.42543973)"
"PARK 11 - TAINMUNTILLA","387","281820.292","6134100.343","Torrens Lake","POINT (15430197.7106437 -4151943.57994169)"
"PARK 11 - TAINMUNTILLA","388","281748.484","6134028.418","Torrens Lake","POINT (15430108.1895431 -4152029.45300514)"
"PARK 11 - TAINMUNTILLA","389","281701.763","6133982.75","Torrens Lake","POINT (15430049.9758274 -4152083.94417653)"
"PARK 11 - TAINMUNTILLA","390","281849.411","6134177.936","Torrens Lake","POINT (15430235.4192739 -4151849.52850194)"
"PARK 11 - TAINMUNTILLA","391","281833.252","6134255.981","Torrens Lake","POINT (15430218.0128619 -4151753.60334414)"
"PARK 11 - TAINMUNTILLA","392","281832.033","6134319.48","Torrens Lake","POINT (15430218.3738381 -4151675.90546331)"
"PARK 11 - TAINMUNTILLA","393","281769.637","6134318.493","Willow","POINT (15430142.3764655 -4151675.29105611)"
"PARK 11 - TAINMUNTILLA","394","281831.29","6134382.484","Willow","POINT (15430219.2999378 -4151598.82741327)"
"PARK 12 - KARRAWIRRA","329","280785.24","6133748.765","Willow","POINT (15428927.218935 -4152343.30030421)"
"PARK 12 - KARRAWIRRA","330","280801.3536","6133760.1753","Willow","POINT (15428947.1718558 -4152329.81700783)"
"PARK 12 - KARRAWIRRA","487","280680.115","6133742.571","Willow","POINT (15428799.0391374 -4152347.79150152)"
"PARK 12 - KARRAWIRRA","488","280717.772","6133787.387","Willow","POINT (15428846.199016 -4152294.08210348)"
"PARK 12 - KARRAWIRRA","489","280704.35","6133812.465","Willow","POINT (15428830.5892658 -4152263.01538853)"
"PARK 12 - KARRAWIRRA","490","280739.5471","6133867.9634","Willow","POINT (15428875.065532 -4152196.16852665)"
"PARK 12 - KARRAWIRRA","491","280720.186","6133887.537","Willow","POINT (15428852.0637797 -4152171.66020872)"
"PARK 12 - KARRAWIRRA","492","280700.087","6133879.484","Willow","POINT (15428827.356621 -4152180.91992852)"
"PARK 12 - KARRAWIRRA","493","280680.327","6133896.035","Willow","POINT (15428803.7810126 -4152160.09673878)"
"PARK 12 - KARRAWIRRA","494","280789.637","6133838.442","Willow","POINT (15428935.1914822 -4152233.74541068)"
"PARK 12 - KARRAWIRRA","495","280822.8516","6133802.574","Willow","POINT (15428974.5855065 -4152278.58968754)"
"PARK 12 - KARRAWIRRA","496","280845.304","6133882.007","Willow","POINT (15429004.2421478 -4152182.09419503)"
"PARK 12 - KARRAWIRRA","497","280851.662","6133879.888","Willow","POINT (15429011.9216015 -4152184.87237512)"
"PARK 12 - KARRAWIRRA","498","280902.584","6133974.48","Willow","POINT (15429076.6835333 -4152070.67163921)"
"PARK 12 - KARRAWIRRA","499","280874.476","6133996.37","Willow","POINT (15429043.0993338 -4152043.07441087)"
"PARK 12 - KARRAWIRRA","500","280858.7981","6134158.2372","Willow","POINT (15429028.7355016 -4151844.64095236)"
"PARK 12 - KARRAWIRRA","501","280829.96","6134081.218","Willow","POINT (15428991.3757012 -4151937.99418792)"
"PARK 12 - KARRAWIRRA","502","280829.471","6134028.578","Willow","POINT (15428989.2435464 -4152002.36200832)"
"PARK 12 - KARRAWIRRA","503","280835.674","6134007.324","Willow","POINT (15428996.175532 -4152028.53905616)"
"PARK 12 - KARRAWIRRA","1341","280831.421","6134064.609","Willow with Plaque","POINT (15428992.6696569 -4151958.35088654)"
"PARK 12 - KARRAWIRRA","1342","280857.362","6134099.249","Willow with Plaque","POINT (15429025.2651701 -4151916.74471413)"
"PARK 12 - KARRAWIRRA","1345","280873.53","6133938.269","Willow with Plaque","POINT (15429040.2515954 -4152114.10869963)"
"PARK 12 - KARRAWIRRA","1019","280888.754","6133093.483","Willow","POINT (15429034.125794 -4153147.84442754)"
"PARK 12 - KARRAWIRRA","926","280891.506","6133084.434","Willow","POINT (15429037.2126224 -4153158.99382719)"
"PARK 12 - KARRAWIRRA","927","280890.382","6133087.471","Willow","POINT (15429035.9326292 -4153155.24601844)"
"PARK 12 - KARRAWIRRA","928","280889.062","6133090.658","Willow","POINT (15429034.418352 -4153151.30898291)"
"PARK 12 - KARRAWIRRA","929","280900.458","6133110.692","Willow","POINT (15429048.8799251 -4153127.13779236)"
"PARK 12 - KARRAWIRRA","923","281427.046","6133178.4135","Willow","POINT (15429692.0666289 -4153059.72718128)"
"PARK 12 - KARRAWIRRA","1034","280753.733","6133048.275","North Terrace Bench with back","POINT (15428868.3932507 -4153199.18109239)"
"PARK 12 - KARRAWIRRA","1035","280753.446","6133051.826","North Terrace Bench with back","POINT (15428868.1475268 -4153194.82909571)"
"PARK 12 - KARRAWIRRA","1036","280753.293","6133054.987","North Terrace Bench with back","POINT (15428868.0535772 -4153190.95808021)"
"PARK 12 - KARRAWIRRA","1037","280796.389","6133063.072","North Terrace Bench","POINT (15428920.7668707 -4153182.33325914)"
"PARK 12 - KARRAWIRRA","1038","280797.873","6133063.244","North Terrace Bench","POINT (15428922.5789303 -4153182.16641528)"
"PARK 12 - KARRAWIRRA","1039","280799.618","6133063.385","North Terrace Bench","POINT (15428924.7078986 -4153182.04514879)"
"PARK 12 - KARRAWIRRA","1040","280801.517","6133063.538","North Terrace Bench","POINT (15428927.0247399 -4153181.91372236)"
"PARK 12 - KARRAWIRRA","1041","280802.906","6133063.599","North Terrace Bench","POINT (15428928.7178776 -4153181.87986468)"
"PARK 12 - KARRAWIRRA","1042","280804.241","6133063.707","North Terrace Bench","POINT (15428930.3466335 -4153181.78693202)"
"PARK 12 - KARRAWIRRA","1043","280778.492","6133061.471","North Terrace Bench","POINT (15428898.9273043 -4153183.76641073)"
"PARK 12 - KARRAWIRRA","1044","280776.85","6133061.338","North Terrace Bench","POINT (15428896.9239903 -4153183.88090935)"
"PARK 12 - KARRAWIRRA","1045","280775.31","6133061.213","North Terrace Bench","POINT (15428895.0451132 -4153183.98861539)"
"PARK 12 - KARRAWIRRA","1046","280773.719","6133061.085","North Terrace Bench","POINT (15428893.1040469 -4153184.09849401)"
"PARK 12 - KARRAWIRRA","1047","280772.231","6133060.964","North Terrace Bench","POINT (15428891.2886059 -4153184.20283266)"
"PARK 12 - KARRAWIRRA","1048","280770.794","6133060.848","North Terrace Bench","POINT (15428889.5354126 -4153184.30255173)"
"PARK 12 - KARRAWIRRA","1049","280862.885","6133068.713","North Terrace Bench","POINT (15429001.9023994 -4153177.38414928)"
"PARK 12 - KARRAWIRRA","1050","280861.304","6133068.585","North Terrace Bench","POINT (15428999.9735111 -4153177.49434002)"
